50
6500
aceite 800 7 19
maquinas 800 19 19
equipos 1100 10 4
trigo 200 26 2
maiz 2300 34 9
arroz 1400 37 11
cafe 2000 28 5
azucar 2900 5 17
algodon 2600 1 15
fertilizantes 1200 40 4
madera 100 33 6
muebles 2200 37 17
acero 500 36 1
hierro 1800 13 14
cemento 3000 25 19
ladrillos 1100 28 16
vigas 1600 10 3
tubos 2100 2 1
maquinaria 800 39 14
tractores 1900 26 8
construccion 1600 27 5
generadores 1300 28 9
paneles 800 3 16
computadoras 300 9 1
telefonos 2900 6 4
electrodomesticos 3000 25 9
ropa 1400 10 15
calzado 200 40 4
juguetes 1000 7 1
herramientas 300 38 1
neumaticos 400 14 2
vehiculos 200 22 2
motocicletas 1700 7 4
barcos 2500 26 4
aviones 100 45 5
repuestos 600 12 9
medicina 1600 38 17
medicamentos 2800 50 8
material 1000 49 4
papel 900 28 11
libros 1000 44 15
jugos 2000 26 12
refrigeradores 1300 29 2
articulos 2200 14 11
pesas 400 49 15
quimicos 700 20 18
plasticos 700 17 2
textil 600 43 15
telas 1400 30 9
aluminio 1900 48 16
refrigeracion 1000 12 11
alimentos 1100 9 5
pescado 1000 49 16
aceitunas 100 11 10
bocinas 400 6 12
televisores 1200 19 17
bicicletas 2800 28 15
sillas 1800 46 7
rastrillos 2500 36 15
lamparas 1000 35 17
transformadores 1800 21 12
baterias 1600 30 9
tornillos 2700 20 6
tuercas 2200 38 17
gruas 1000 42 13
alfombras 2600 48 8
pelotas 100 32 13
canias 200 16 18
helados 2500 11 20
galletas 2200 39 16
mesas 2700 17 15
rayosx 1300 14 12
impresoras 1600 12 12
gafas 700 18 7
seguridad 1500 26 12
camaras 100 48 14
relojes 1100 37 11
consoladores 2400 20 14
bombas 700 21 20
pala 900 35 16
decoracion 2000 21 16
embalaje 2900 18 20
accesorios 1200 47 15
instrumentos 1000 12 3
carpinteria 2800 21 14
entrenamiento 1900 36 9
